placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-01-17 18:00:00,2025-01-17 18:05:00,27
fukui-station-east-entrance,Person,2025-01-17 18:05:00,2025-01-17 18:10:00,61
fukui-station-east-entrance,Person,2025-01-17 18:10:00,2025-01-17 18:15:00,63
fukui-station-east-entrance,Person,2025-01-17 18:15:00,2025-01-17 18:20:00,22
fukui-station-east-entrance,Person,2025-01-17 18:20:00,2025-01-17 18:25:00,26
fukui-station-east-entrance,Person,2025-01-17 18:25:00,2025-01-17 18:30:00,39
fukui-station-east-entrance,Person,2025-01-17 18:30:00,2025-01-17 18:35:00,30
fukui-station-east-entrance,Person,2025-01-17 18:35:00,2025-01-17 18:40:00,38
fukui-station-east-entrance,Person,2025-01-17 18:40:00,2025-01-17 18:45:00,37
fukui-station-east-entrance,Person,2025-01-17 18:45:00,2025-01-17 18:50:00,41
fukui-station-east-entrance,Person,2025-01-17 18:50:00,2025-01-17 18:55:00,24
fukui-station-east-entrance,Person,2025-01-17 18:55:00,2025-01-17 19:00:00,15
