placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-04-01 00:00:00,2026-04-02 00:00:00,8299
fukui-station-east-entrance,Person,2026-04-02 00:00:00,2026-04-03 00:00:00,8549
fukui-station-east-entrance,Person,2026-04-03 00:00:00,2026-04-04 00:00:00,8606
fukui-station-east-entrance,Person,2026-04-04 00:00:00,2026-04-05 00:00:00,11243
fukui-station-east-entrance,Person,2026-04-05 00:00:00,2026-04-06 00:00:00,11682
fukui-station-east-entrance,Person,2026-04-06 00:00:00,2026-04-07 00:00:00,7947
fukui-station-east-entrance,Person,2026-04-07 00:00:00,2026-04-08 00:00:00,7355
fukui-station-east-entrance,Person,2026-04-08 00:00:00,2026-04-09 00:00:00,6760
fukui-station-east-entrance,Person,2026-04-09 00:00:00,2026-04-10 00:00:00,6053
fukui-station-east-entrance,Person,2026-04-10 00:00:00,2026-04-11 00:00:00,7400
fukui-station-east-entrance,Person,2026-04-11 00:00:00,2026-04-12 00:00:00,10251
fukui-station-east-entrance,Person,2026-04-12 00:00:00,2026-04-13 00:00:00,11167
fukui-station-east-entrance,Person,2026-04-13 00:00:00,2026-04-14 00:00:00,7094
fukui-station-east-entrance,Person,2026-04-14 00:00:00,2026-04-15 00:00:00,6169
fukui-station-east-entrance,Person,2026-04-15 00:00:00,2026-04-16 00:00:00,6127
fukui-station-east-entrance,Person,2026-04-16 00:00:00,2026-04-17 00:00:00,8573
fukui-station-east-entrance,Person,2026-04-17 00:00:00,2026-04-18 00:00:00,8586
fukui-station-east-entrance,Person,2026-04-18 00:00:00,2026-04-19 00:00:00,10558
fukui-station-east-entrance,Person,2026-04-19 00:00:00,2026-04-20 00:00:00,10250
fukui-station-east-entrance,Person,2026-04-20 00:00:00,2026-04-21 00:00:00,7177
fukui-station-east-entrance,Person,2026-04-21 00:00:00,2026-04-22 00:00:00,6652
fukui-station-east-entrance,Person,2026-04-22 00:00:00,2026-04-23 00:00:00,7547
