placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-07 10:00:00,2025-03-07 10:05:00,58
fukui-station-east-entrance,Person,2025-03-07 10:05:00,2025-03-07 10:10:00,63
fukui-station-east-entrance,Person,2025-03-07 10:10:00,2025-03-07 10:15:00,65
fukui-station-east-entrance,Person,2025-03-07 10:15:00,2025-03-07 10:20:00,54
fukui-station-east-entrance,Person,2025-03-07 10:20:00,2025-03-07 10:25:00,69
fukui-station-east-entrance,Person,2025-03-07 10:25:00,2025-03-07 10:30:00,65
fukui-station-east-entrance,Person,2025-03-07 10:30:00,2025-03-07 10:35:00,60
fukui-station-east-entrance,Person,2025-03-07 10:35:00,2025-03-07 10:40:00,47
fukui-station-east-entrance,Person,2025-03-07 10:40:00,2025-03-07 10:45:00,34
fukui-station-east-entrance,Person,2025-03-07 10:45:00,2025-03-07 10:50:00,52
fukui-station-east-entrance,Person,2025-03-07 10:50:00,2025-03-07 10:55:00,21
fukui-station-east-entrance,Person,2025-03-07 10:55:00,2025-03-07 11:00:00,54
