placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-14 14:00:00,2025-03-14 14:05:00,37
fukui-station-east-entrance,Person,2025-03-14 14:05:00,2025-03-14 14:10:00,52
fukui-station-east-entrance,Person,2025-03-14 14:10:00,2025-03-14 14:15:00,67
fukui-station-east-entrance,Person,2025-03-14 14:15:00,2025-03-14 14:20:00,72
fukui-station-east-entrance,Person,2025-03-14 14:20:00,2025-03-14 14:25:00,45
fukui-station-east-entrance,Person,2025-03-14 14:25:00,2025-03-14 14:30:00,53
fukui-station-east-entrance,Person,2025-03-14 14:30:00,2025-03-14 14:35:00,43
fukui-station-east-entrance,Person,2025-03-14 14:35:00,2025-03-14 14:40:00,38
fukui-station-east-entrance,Person,2025-03-14 14:40:00,2025-03-14 14:45:00,51
fukui-station-east-entrance,Person,2025-03-14 14:45:00,2025-03-14 14:50:00,43
fukui-station-east-entrance,Person,2025-03-14 14:50:00,2025-03-14 14:55:00,67
fukui-station-east-entrance,Person,2025-03-14 14:55:00,2025-03-14 15:00:00,67
