placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-08-18 18:00:00,2025-08-18 18:05:00,76
fukui-station-east-entrance,Person,2025-08-18 18:05:00,2025-08-18 18:10:00,79
fukui-station-east-entrance,Person,2025-08-18 18:10:00,2025-08-18 18:15:00,62
fukui-station-east-entrance,Person,2025-08-18 18:15:00,2025-08-18 18:20:00,119
fukui-station-east-entrance,Person,2025-08-18 18:20:00,2025-08-18 18:25:00,96
fukui-station-east-entrance,Person,2025-08-18 18:25:00,2025-08-18 18:30:00,101
fukui-station-east-entrance,Person,2025-08-18 18:30:00,2025-08-18 18:35:00,77
fukui-station-east-entrance,Person,2025-08-18 18:35:00,2025-08-18 18:40:00,94
fukui-station-east-entrance,Person,2025-08-18 18:40:00,2025-08-18 18:45:00,63
fukui-station-east-entrance,Person,2025-08-18 18:45:00,2025-08-18 18:50:00,62
fukui-station-east-entrance,Person,2025-08-18 18:50:00,2025-08-18 18:55:00,65
fukui-station-east-entrance,Person,2025-08-18 18:55:00,2025-08-18 19:00:00,64
