placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-01-18 13:00:00,2026-01-18 13:05:00,69
fukui-station-east-entrance,Person,2026-01-18 13:05:00,2026-01-18 13:10:00,38
fukui-station-east-entrance,Person,2026-01-18 13:10:00,2026-01-18 13:15:00,64
fukui-station-east-entrance,Person,2026-01-18 13:15:00,2026-01-18 13:20:00,86
fukui-station-east-entrance,Person,2026-01-18 13:20:00,2026-01-18 13:25:00,78
fukui-station-east-entrance,Person,2026-01-18 13:25:00,2026-01-18 13:30:00,69
fukui-station-east-entrance,Person,2026-01-18 13:30:00,2026-01-18 13:35:00,59
fukui-station-east-entrance,Person,2026-01-18 13:35:00,2026-01-18 13:40:00,58
fukui-station-east-entrance,Person,2026-01-18 13:40:00,2026-01-18 13:45:00,88
fukui-station-east-entrance,Person,2026-01-18 13:45:00,2026-01-18 13:50:00,92
fukui-station-east-entrance,Person,2026-01-18 13:50:00,2026-01-18 13:55:00,62
fukui-station-east-entrance,Person,2026-01-18 13:55:00,2026-01-18 14:00:00,43
