placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-07-27 06:00:00,2025-07-27 06:05:00,2
fukui-station-east-entrance,Person,2025-07-27 06:05:00,2025-07-27 06:10:00,4
fukui-station-east-entrance,Person,2025-07-27 06:10:00,2025-07-27 06:15:00,11
fukui-station-east-entrance,Person,2025-07-27 06:15:00,2025-07-27 06:20:00,2
fukui-station-east-entrance,Person,2025-07-27 06:20:00,2025-07-27 06:25:00,13
fukui-station-east-entrance,Person,2025-07-27 06:25:00,2025-07-27 06:30:00,6
fukui-station-east-entrance,Person,2025-07-27 06:30:00,2025-07-27 06:35:00,0
fukui-station-east-entrance,Person,2025-07-27 06:35:00,2025-07-27 06:40:00,24
fukui-station-east-entrance,Person,2025-07-27 06:40:00,2025-07-27 06:45:00,12
fukui-station-east-entrance,Person,2025-07-27 06:45:00,2025-07-27 06:50:00,17
fukui-station-east-entrance,Person,2025-07-27 06:50:00,2025-07-27 06:55:00,13
fukui-station-east-entrance,Person,2025-07-27 06:55:00,2025-07-27 07:00:00,10
