placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-01-22 00:00:00,2026-01-22 01:00:00,0
tojinbo-shotaro,Person,2026-01-22 01:00:00,2026-01-22 02:00:00,0
tojinbo-shotaro,Person,2026-01-22 02:00:00,2026-01-22 03:00:00,1
tojinbo-shotaro,Person,2026-01-22 03:00:00,2026-01-22 04:00:00,0
tojinbo-shotaro,Person,2026-01-22 04:00:00,2026-01-22 05:00:00,0
tojinbo-shotaro,Person,2026-01-22 05:00:00,2026-01-22 06:00:00,2
tojinbo-shotaro,Person,2026-01-22 06:00:00,2026-01-22 07:00:00,162
tojinbo-shotaro,Person,2026-01-22 07:00:00,2026-01-22 08:00:00,126
tojinbo-shotaro,Person,2026-01-22 08:00:00,2026-01-22 09:00:00,103
tojinbo-shotaro,Person,2026-01-22 09:00:00,2026-01-22 10:00:00,352
tojinbo-shotaro,Person,2026-01-22 10:00:00,2026-01-22 11:00:00,184
tojinbo-shotaro,Person,2026-01-22 11:00:00,2026-01-22 12:00:00,159
tojinbo-shotaro,Person,2026-01-22 12:00:00,2026-01-22 13:00:00,113
tojinbo-shotaro,Person,2026-01-22 13:00:00,2026-01-22 14:00:00,150
tojinbo-shotaro,Person,2026-01-22 14:00:00,2026-01-22 15:00:00,100
tojinbo-shotaro,Person,2026-01-22 15:00:00,2026-01-22 16:00:00,189
tojinbo-shotaro,Person,2026-01-22 16:00:00,2026-01-22 17:00:00,16
tojinbo-shotaro,Person,2026-01-22 17:00:00,2026-01-22 18:00:00,6
tojinbo-shotaro,Person,2026-01-22 18:00:00,2026-01-22 19:00:00,0
tojinbo-shotaro,Person,2026-01-22 19:00:00,2026-01-22 20:00:00,0
tojinbo-shotaro,Person,2026-01-22 20:00:00,2026-01-22 21:00:00,0
tojinbo-shotaro,Person,2026-01-22 21:00:00,2026-01-22 22:00:00,0
tojinbo-shotaro,Person,2026-01-22 22:00:00,2026-01-22 23:00:00,0
tojinbo-shotaro,Person,2026-01-22 23:00:00,2026-01-23 00:00:00,0
