placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-02-21 11:00:00,2025-02-21 11:05:00,17
fukui-station-east-entrance,Person,2025-02-21 11:05:00,2025-02-21 11:10:00,31
fukui-station-east-entrance,Person,2025-02-21 11:10:00,2025-02-21 11:15:00,50
fukui-station-east-entrance,Person,2025-02-21 11:15:00,2025-02-21 11:20:00,49
fukui-station-east-entrance,Person,2025-02-21 11:20:00,2025-02-21 11:25:00,19
fukui-station-east-entrance,Person,2025-02-21 11:25:00,2025-02-21 11:30:00,31
fukui-station-east-entrance,Person,2025-02-21 11:30:00,2025-02-21 11:35:00,27
fukui-station-east-entrance,Person,2025-02-21 11:35:00,2025-02-21 11:40:00,31
fukui-station-east-entrance,Person,2025-02-21 11:40:00,2025-02-21 11:45:00,37
fukui-station-east-entrance,Person,2025-02-21 11:45:00,2025-02-21 11:50:00,16
fukui-station-east-entrance,Person,2025-02-21 11:50:00,2025-02-21 11:55:00,56
fukui-station-east-entrance,Person,2025-02-21 11:55:00,2025-02-21 12:00:00,70
