placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-06-29 16:00:00,2025-06-29 16:05:00,109
fukui-station-east-entrance,Person,2025-06-29 16:05:00,2025-06-29 16:10:00,102
fukui-station-east-entrance,Person,2025-06-29 16:10:00,2025-06-29 16:15:00,110
fukui-station-east-entrance,Person,2025-06-29 16:15:00,2025-06-29 16:20:00,97
fukui-station-east-entrance,Person,2025-06-29 16:20:00,2025-06-29 16:25:00,82
fukui-station-east-entrance,Person,2025-06-29 16:25:00,2025-06-29 16:30:00,75
fukui-station-east-entrance,Person,2025-06-29 16:30:00,2025-06-29 16:35:00,93
fukui-station-east-entrance,Person,2025-06-29 16:35:00,2025-06-29 16:40:00,145
fukui-station-east-entrance,Person,2025-06-29 16:40:00,2025-06-29 16:45:00,73
fukui-station-east-entrance,Person,2025-06-29 16:45:00,2025-06-29 16:50:00,99
fukui-station-east-entrance,Person,2025-06-29 16:50:00,2025-06-29 16:55:00,67
fukui-station-east-entrance,Person,2025-06-29 16:55:00,2025-06-29 17:00:00,109
