placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-12-08 09:00:00,2025-12-08 09:05:00,34
fukui-station-east-entrance,Person,2025-12-08 09:05:00,2025-12-08 09:10:00,35
fukui-station-east-entrance,Person,2025-12-08 09:10:00,2025-12-08 09:15:00,95
fukui-station-east-entrance,Person,2025-12-08 09:15:00,2025-12-08 09:20:00,70
fukui-station-east-entrance,Person,2025-12-08 09:20:00,2025-12-08 09:25:00,67
fukui-station-east-entrance,Person,2025-12-08 09:25:00,2025-12-08 09:30:00,88
fukui-station-east-entrance,Person,2025-12-08 09:30:00,2025-12-08 09:35:00,46
fukui-station-east-entrance,Person,2025-12-08 09:35:00,2025-12-08 09:40:00,35
fukui-station-east-entrance,Person,2025-12-08 09:40:00,2025-12-08 09:45:00,34
fukui-station-east-entrance,Person,2025-12-08 09:45:00,2025-12-08 09:50:00,35
fukui-station-east-entrance,Person,2025-12-08 09:50:00,2025-12-08 09:55:00,43
fukui-station-east-entrance,Person,2025-12-08 09:55:00,2025-12-08 10:00:00,22
