placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-01-11 18:00:00,2026-01-11 18:05:00,87
fukui-station-east-entrance,Person,2026-01-11 18:05:00,2026-01-11 18:10:00,57
fukui-station-east-entrance,Person,2026-01-11 18:10:00,2026-01-11 18:15:00,42
fukui-station-east-entrance,Person,2026-01-11 18:15:00,2026-01-11 18:20:00,64
fukui-station-east-entrance,Person,2026-01-11 18:20:00,2026-01-11 18:25:00,33
fukui-station-east-entrance,Person,2026-01-11 18:25:00,2026-01-11 18:30:00,83
fukui-station-east-entrance,Person,2026-01-11 18:30:00,2026-01-11 18:35:00,24
fukui-station-east-entrance,Person,2026-01-11 18:35:00,2026-01-11 18:40:00,39
fukui-station-east-entrance,Person,2026-01-11 18:40:00,2026-01-11 18:45:00,38
fukui-station-east-entrance,Person,2026-01-11 18:45:00,2026-01-11 18:50:00,53
fukui-station-east-entrance,Person,2026-01-11 18:50:00,2026-01-11 18:55:00,37
fukui-station-east-entrance,Person,2026-01-11 18:55:00,2026-01-11 19:00:00,57
