placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-07-18 13:00:00,2025-07-18 13:05:00,45
fukui-station-east-entrance,Person,2025-07-18 13:05:00,2025-07-18 13:10:00,46
fukui-station-east-entrance,Person,2025-07-18 13:10:00,2025-07-18 13:15:00,63
fukui-station-east-entrance,Person,2025-07-18 13:15:00,2025-07-18 13:20:00,58
fukui-station-east-entrance,Person,2025-07-18 13:20:00,2025-07-18 13:25:00,53
fukui-station-east-entrance,Person,2025-07-18 13:25:00,2025-07-18 13:30:00,46
fukui-station-east-entrance,Person,2025-07-18 13:30:00,2025-07-18 13:35:00,58
fukui-station-east-entrance,Person,2025-07-18 13:35:00,2025-07-18 13:40:00,61
fukui-station-east-entrance,Person,2025-07-18 13:40:00,2025-07-18 13:45:00,76
fukui-station-east-entrance,Person,2025-07-18 13:45:00,2025-07-18 13:50:00,57
fukui-station-east-entrance,Person,2025-07-18 13:50:00,2025-07-18 13:55:00,61
fukui-station-east-entrance,Person,2025-07-18 13:55:00,2025-07-18 14:00:00,49
