placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-09-30 17:00:00,2025-09-30 17:05:00,8
tojinbo-shotaro,Person,2025-09-30 17:05:00,2025-09-30 17:10:00,12
tojinbo-shotaro,Person,2025-09-30 17:10:00,2025-09-30 17:15:00,21
tojinbo-shotaro,Person,2025-09-30 17:15:00,2025-09-30 17:20:00,7
tojinbo-shotaro,Person,2025-09-30 17:20:00,2025-09-30 17:25:00,5
tojinbo-shotaro,Person,2025-09-30 17:25:00,2025-09-30 17:30:00,15
tojinbo-shotaro,Person,2025-09-30 17:30:00,2025-09-30 17:35:00,4
tojinbo-shotaro,Person,2025-09-30 17:35:00,2025-09-30 17:40:00,3
tojinbo-shotaro,Person,2025-09-30 17:40:00,2025-09-30 17:45:00,8
tojinbo-shotaro,Person,2025-09-30 17:45:00,2025-09-30 17:50:00,3
tojinbo-shotaro,Person,2025-09-30 17:50:00,2025-09-30 17:55:00,7
tojinbo-shotaro,Person,2025-09-30 17:55:00,2025-09-30 18:00:00,0
