placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-07-01 12:00:00,2025-07-01 12:05:00,60
fukui-station-east-entrance,Person,2025-07-01 12:05:00,2025-07-01 12:10:00,57
fukui-station-east-entrance,Person,2025-07-01 12:10:00,2025-07-01 12:15:00,33
fukui-station-east-entrance,Person,2025-07-01 12:15:00,2025-07-01 12:20:00,36
fukui-station-east-entrance,Person,2025-07-01 12:20:00,2025-07-01 12:25:00,61
fukui-station-east-entrance,Person,2025-07-01 12:25:00,2025-07-01 12:30:00,47
fukui-station-east-entrance,Person,2025-07-01 12:30:00,2025-07-01 12:35:00,35
fukui-station-east-entrance,Person,2025-07-01 12:35:00,2025-07-01 12:40:00,58
fukui-station-east-entrance,Person,2025-07-01 12:40:00,2025-07-01 12:45:00,59
fukui-station-east-entrance,Person,2025-07-01 12:45:00,2025-07-01 12:50:00,53
fukui-station-east-entrance,Person,2025-07-01 12:50:00,2025-07-01 12:55:00,63
fukui-station-east-entrance,Person,2025-07-01 12:55:00,2025-07-01 13:00:00,70
