placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-02-15 14:00:00,2025-02-15 14:05:00,39
fukui-station-east-entrance,Person,2025-02-15 14:05:00,2025-02-15 14:10:00,41
fukui-station-east-entrance,Person,2025-02-15 14:10:00,2025-02-15 14:15:00,47
fukui-station-east-entrance,Person,2025-02-15 14:15:00,2025-02-15 14:20:00,66
fukui-station-east-entrance,Person,2025-02-15 14:20:00,2025-02-15 14:25:00,43
fukui-station-east-entrance,Person,2025-02-15 14:25:00,2025-02-15 14:30:00,31
fukui-station-east-entrance,Person,2025-02-15 14:30:00,2025-02-15 14:35:00,42
fukui-station-east-entrance,Person,2025-02-15 14:35:00,2025-02-15 14:40:00,36
fukui-station-east-entrance,Person,2025-02-15 14:40:00,2025-02-15 14:45:00,53
fukui-station-east-entrance,Person,2025-02-15 14:45:00,2025-02-15 14:50:00,44
fukui-station-east-entrance,Person,2025-02-15 14:50:00,2025-02-15 14:55:00,38
fukui-station-east-entrance,Person,2025-02-15 14:55:00,2025-02-15 15:00:00,49
