placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
tojinbo-shotaro,Face,2025-03-22 13:00:00,2025-03-22 13:05:00,13,0,4,2,2,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:05:00,2025-03-22 13:10:00,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:10:00,2025-03-22 13:15:00,6,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:15:00,2025-03-22 13:20:00,27,1,6,2,3,2,6,2,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:20:00,2025-03-22 13:25:00,18,0,6,2,0,3,0,0,0,1,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:25:00,2025-03-22 13:30:00,29,0,8,1,4,4,2,0,0,0,0,2,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:30:00,2025-03-22 13:35:00,24,0,10,2,2,1,1,0,0,0,0,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:35:00,2025-03-22 13:40:00,22,0,4,3,3,1,1,0,2,0,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:40:00,2025-03-22 13:45:00,11,0,3,1,1,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:45:00,2025-03-22 13:50:00,16,0,3,1,1,5,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:50:00,2025-03-22 13:55:00,12,0,3,1,0,1,0,1,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
tojinbo-shotaro,Face,2025-03-22 13:55:00,2025-03-22 14:00:00,13,0,5,0,4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
