placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-09-01 00:00:00,2025-09-02 00:00:00,6793
tojinbo-shotaro,Person,2025-09-02 00:00:00,2025-09-03 00:00:00,7047
tojinbo-shotaro,Person,2025-09-03 00:00:00,2025-09-04 00:00:00,6450
tojinbo-shotaro,Person,2025-09-04 00:00:00,2025-09-05 00:00:00,7405
tojinbo-shotaro,Person,2025-09-05 00:00:00,2025-09-06 00:00:00,6764
tojinbo-shotaro,Person,2025-09-06 00:00:00,2025-09-07 00:00:00,14222
tojinbo-shotaro,Person,2025-09-07 00:00:00,2025-09-08 00:00:00,14815
tojinbo-shotaro,Person,2025-09-08 00:00:00,2025-09-09 00:00:00,8002
tojinbo-shotaro,Person,2025-09-09 00:00:00,2025-09-10 00:00:00,7291
tojinbo-shotaro,Person,2025-09-10 00:00:00,2025-09-11 00:00:00,0
tojinbo-shotaro,Person,2025-09-11 00:00:00,2025-09-12 00:00:00,6520
tojinbo-shotaro,Person,2025-09-12 00:00:00,2025-09-13 00:00:00,6009
tojinbo-shotaro,Person,2025-09-13 00:00:00,2025-09-14 00:00:00,16593
tojinbo-shotaro,Person,2025-09-14 00:00:00,2025-09-15 00:00:00,17226
tojinbo-shotaro,Person,2025-09-15 00:00:00,2025-09-16 00:00:00,16957
tojinbo-shotaro,Person,2025-09-16 00:00:00,2025-09-17 00:00:00,7603
tojinbo-shotaro,Person,2025-09-17 00:00:00,2025-09-18 00:00:00,7010
tojinbo-shotaro,Person,2025-09-18 00:00:00,2025-09-19 00:00:00,6499
tojinbo-shotaro,Person,2025-09-19 00:00:00,2025-09-20 00:00:00,9276
tojinbo-shotaro,Person,2025-09-20 00:00:00,2025-09-21 00:00:00,12571
tojinbo-shotaro,Person,2025-09-21 00:00:00,2025-09-22 00:00:00,17204
tojinbo-shotaro,Person,2025-09-22 00:00:00,2025-09-23 00:00:00,14198
tojinbo-shotaro,Person,2025-09-23 00:00:00,2025-09-24 00:00:00,13139
tojinbo-shotaro,Person,2025-09-24 00:00:00,2025-09-25 00:00:00,10883
tojinbo-shotaro,Person,2025-09-25 00:00:00,2025-09-26 00:00:00,7201
tojinbo-shotaro,Person,2025-09-26 00:00:00,2025-09-27 00:00:00,0
tojinbo-shotaro,Person,2025-09-27 00:00:00,2025-09-28 00:00:00,0
tojinbo-shotaro,Person,2025-09-28 00:00:00,2025-09-29 00:00:00,0
tojinbo-shotaro,Person,2025-09-29 00:00:00,2025-09-30 00:00:00,2464
tojinbo-shotaro,Person,2025-09-30 00:00:00,2025-10-01 00:00:00,7881
