placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-07-01 00:00:00,2025-07-02 00:00:00,4610
tojinbo-shotaro,Person,2025-07-02 00:00:00,2025-07-03 00:00:00,3757
tojinbo-shotaro,Person,2025-07-03 00:00:00,2025-07-04 00:00:00,4764
tojinbo-shotaro,Person,2025-07-04 00:00:00,2025-07-05 00:00:00,5803
tojinbo-shotaro,Person,2025-07-05 00:00:00,2025-07-06 00:00:00,11875
tojinbo-shotaro,Person,2025-07-06 00:00:00,2025-07-07 00:00:00,13158
tojinbo-shotaro,Person,2025-07-07 00:00:00,2025-07-08 00:00:00,5887
tojinbo-shotaro,Person,2025-07-08 00:00:00,2025-07-09 00:00:00,5061
tojinbo-shotaro,Person,2025-07-09 00:00:00,2025-07-10 00:00:00,4683
tojinbo-shotaro,Person,2025-07-10 00:00:00,2025-07-11 00:00:00,4090
tojinbo-shotaro,Person,2025-07-11 00:00:00,2025-07-12 00:00:00,5564
tojinbo-shotaro,Person,2025-07-12 00:00:00,2025-07-13 00:00:00,14142
tojinbo-shotaro,Person,2025-07-13 00:00:00,2025-07-14 00:00:00,12802
tojinbo-shotaro,Person,2025-07-14 00:00:00,2025-07-15 00:00:00,5977
tojinbo-shotaro,Person,2025-07-15 00:00:00,2025-07-16 00:00:00,5329
tojinbo-shotaro,Person,2025-07-16 00:00:00,2025-07-17 00:00:00,5619
tojinbo-shotaro,Person,2025-07-17 00:00:00,2025-07-18 00:00:00,5164
tojinbo-shotaro,Person,2025-07-18 00:00:00,2025-07-19 00:00:00,6019
tojinbo-shotaro,Person,2025-07-19 00:00:00,2025-07-20 00:00:00,17639
tojinbo-shotaro,Person,2025-07-20 00:00:00,2025-07-21 00:00:00,22990
tojinbo-shotaro,Person,2025-07-21 00:00:00,2025-07-22 00:00:00,17620
tojinbo-shotaro,Person,2025-07-22 00:00:00,2025-07-23 00:00:00,8775
tojinbo-shotaro,Person,2025-07-23 00:00:00,2025-07-24 00:00:00,7633
tojinbo-shotaro,Person,2025-07-24 00:00:00,2025-07-25 00:00:00,7362
tojinbo-shotaro,Person,2025-07-25 00:00:00,2025-07-26 00:00:00,8786
tojinbo-shotaro,Person,2025-07-26 00:00:00,2025-07-27 00:00:00,14310
tojinbo-shotaro,Person,2025-07-27 00:00:00,2025-07-28 00:00:00,15701
tojinbo-shotaro,Person,2025-07-28 00:00:00,2025-07-29 00:00:00,10746
tojinbo-shotaro,Person,2025-07-29 00:00:00,2025-07-30 00:00:00,8817
tojinbo-shotaro,Person,2025-07-30 00:00:00,2025-07-31 00:00:00,8818
tojinbo-shotaro,Person,2025-07-31 00:00:00,2025-08-01 00:00:00,8820
