placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2026-03-22 15:00:00,2026-03-22 15:05:00,138
fukui-station-east-entrance,Person,2026-03-22 15:05:00,2026-03-22 15:10:00,120
fukui-station-east-entrance,Person,2026-03-22 15:10:00,2026-03-22 15:15:00,113
fukui-station-east-entrance,Person,2026-03-22 15:15:00,2026-03-22 15:20:00,125
fukui-station-east-entrance,Person,2026-03-22 15:20:00,2026-03-22 15:25:00,122
fukui-station-east-entrance,Person,2026-03-22 15:25:00,2026-03-22 15:30:00,148
fukui-station-east-entrance,Person,2026-03-22 15:30:00,2026-03-22 15:35:00,115
fukui-station-east-entrance,Person,2026-03-22 15:35:00,2026-03-22 15:40:00,104
fukui-station-east-entrance,Person,2026-03-22 15:40:00,2026-03-22 15:45:00,106
fukui-station-east-entrance,Person,2026-03-22 15:45:00,2026-03-22 15:50:00,147
fukui-station-east-entrance,Person,2026-03-22 15:50:00,2026-03-22 15:55:00,139
fukui-station-east-entrance,Person,2026-03-22 15:55:00,2026-03-22 16:00:00,120
