placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-11-27 15:00:00,2025-11-27 15:05:00,77
tojinbo-shotaro,Person,2025-11-27 15:05:00,2025-11-27 15:10:00,77
tojinbo-shotaro,Person,2025-11-27 15:10:00,2025-11-27 15:15:00,91
tojinbo-shotaro,Person,2025-11-27 15:15:00,2025-11-27 15:20:00,59
tojinbo-shotaro,Person,2025-11-27 15:20:00,2025-11-27 15:25:00,53
tojinbo-shotaro,Person,2025-11-27 15:25:00,2025-11-27 15:30:00,64
tojinbo-shotaro,Person,2025-11-27 15:30:00,2025-11-27 15:35:00,60
tojinbo-shotaro,Person,2025-11-27 15:35:00,2025-11-27 15:40:00,45
tojinbo-shotaro,Person,2025-11-27 15:40:00,2025-11-27 15:45:00,62
tojinbo-shotaro,Person,2025-11-27 15:45:00,2025-11-27 15:50:00,93
tojinbo-shotaro,Person,2025-11-27 15:50:00,2025-11-27 15:55:00,38
tojinbo-shotaro,Person,2025-11-27 15:55:00,2025-11-27 16:00:00,126
