placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2024-12-23 16:00:00,2024-12-23 16:05:00,34
tojinbo-shotaro,Person,2024-12-23 16:05:00,2024-12-23 16:10:00,9
tojinbo-shotaro,Person,2024-12-23 16:10:00,2024-12-23 16:15:00,32
tojinbo-shotaro,Person,2024-12-23 16:15:00,2024-12-23 16:20:00,20
tojinbo-shotaro,Person,2024-12-23 16:20:00,2024-12-23 16:25:00,15
tojinbo-shotaro,Person,2024-12-23 16:25:00,2024-12-23 16:30:00,39
tojinbo-shotaro,Person,2024-12-23 16:30:00,2024-12-23 16:35:00,45
tojinbo-shotaro,Person,2024-12-23 16:35:00,2024-12-23 16:40:00,3
tojinbo-shotaro,Person,2024-12-23 16:40:00,2024-12-23 16:45:00,2
tojinbo-shotaro,Person,2024-12-23 16:45:00,2024-12-23 16:50:00,3
tojinbo-shotaro,Person,2024-12-23 16:50:00,2024-12-23 16:55:00,3
tojinbo-shotaro,Person,2024-12-23 16:55:00,2024-12-23 17:00:00,4
