placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-04-13 17:00:00,2025-04-13 17:05:00,87
fukui-station-east-entrance,Person,2025-04-13 17:05:00,2025-04-13 17:10:00,55
fukui-station-east-entrance,Person,2025-04-13 17:10:00,2025-04-13 17:15:00,81
fukui-station-east-entrance,Person,2025-04-13 17:15:00,2025-04-13 17:20:00,99
fukui-station-east-entrance,Person,2025-04-13 17:20:00,2025-04-13 17:25:00,80
fukui-station-east-entrance,Person,2025-04-13 17:25:00,2025-04-13 17:30:00,70
fukui-station-east-entrance,Person,2025-04-13 17:30:00,2025-04-13 17:35:00,53
fukui-station-east-entrance,Person,2025-04-13 17:35:00,2025-04-13 17:40:00,60
fukui-station-east-entrance,Person,2025-04-13 17:40:00,2025-04-13 17:45:00,43
fukui-station-east-entrance,Person,2025-04-13 17:45:00,2025-04-13 17:50:00,63
fukui-station-east-entrance,Person,2025-04-13 17:50:00,2025-04-13 17:55:00,51
fukui-station-east-entrance,Person,2025-04-13 17:55:00,2025-04-13 18:00:00,28
