placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-05-27 12:00:00,2025-05-27 12:05:00,40
fukui-station-east-entrance,Person,2025-05-27 12:05:00,2025-05-27 12:10:00,71
fukui-station-east-entrance,Person,2025-05-27 12:10:00,2025-05-27 12:15:00,72
fukui-station-east-entrance,Person,2025-05-27 12:15:00,2025-05-27 12:20:00,41
fukui-station-east-entrance,Person,2025-05-27 12:20:00,2025-05-27 12:25:00,43
fukui-station-east-entrance,Person,2025-05-27 12:25:00,2025-05-27 12:30:00,25
fukui-station-east-entrance,Person,2025-05-27 12:30:00,2025-05-27 12:35:00,62
fukui-station-east-entrance,Person,2025-05-27 12:35:00,2025-05-27 12:40:00,65
fukui-station-east-entrance,Person,2025-05-27 12:40:00,2025-05-27 12:45:00,44
fukui-station-east-entrance,Person,2025-05-27 12:45:00,2025-05-27 12:50:00,48
fukui-station-east-entrance,Person,2025-05-27 12:50:00,2025-05-27 12:55:00,60
fukui-station-east-entrance,Person,2025-05-27 12:55:00,2025-05-27 13:00:00,38
