placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-07-24 00:00:00,2025-07-24 01:00:00,0
fukui-station-east-entrance,Person,2025-07-24 01:00:00,2025-07-24 02:00:00,0
fukui-station-east-entrance,Person,2025-07-24 02:00:00,2025-07-24 03:00:00,0
fukui-station-east-entrance,Person,2025-07-24 03:00:00,2025-07-24 04:00:00,0
fukui-station-east-entrance,Person,2025-07-24 04:00:00,2025-07-24 05:00:00,1
fukui-station-east-entrance,Person,2025-07-24 05:00:00,2025-07-24 06:00:00,19
fukui-station-east-entrance,Person,2025-07-24 06:00:00,2025-07-24 07:00:00,151
fukui-station-east-entrance,Person,2025-07-24 07:00:00,2025-07-24 08:00:00,339
fukui-station-east-entrance,Person,2025-07-24 08:00:00,2025-07-24 09:00:00,368
fukui-station-east-entrance,Person,2025-07-24 09:00:00,2025-07-24 10:00:00,473
fukui-station-east-entrance,Person,2025-07-24 10:00:00,2025-07-24 11:00:00,814
fukui-station-east-entrance,Person,2025-07-24 11:00:00,2025-07-24 12:00:00,757
fukui-station-east-entrance,Person,2025-07-24 12:00:00,2025-07-24 13:00:00,1030
fukui-station-east-entrance,Person,2025-07-24 13:00:00,2025-07-24 14:00:00,913
fukui-station-east-entrance,Person,2025-07-24 14:00:00,2025-07-24 15:00:00,634
fukui-station-east-entrance,Person,2025-07-24 15:00:00,2025-07-24 16:00:00,739
fukui-station-east-entrance,Person,2025-07-24 16:00:00,2025-07-24 17:00:00,637
fukui-station-east-entrance,Person,2025-07-24 17:00:00,2025-07-24 18:00:00,643
fukui-station-east-entrance,Person,2025-07-24 18:00:00,2025-07-24 19:00:00,616
fukui-station-east-entrance,Person,2025-07-24 19:00:00,2025-07-24 20:00:00,235
fukui-station-east-entrance,Person,2025-07-24 20:00:00,2025-07-24 21:00:00,134
fukui-station-east-entrance,Person,2025-07-24 21:00:00,2025-07-24 22:00:00,168
fukui-station-east-entrance,Person,2025-07-24 22:00:00,2025-07-24 23:00:00,57
fukui-station-east-entrance,Person,2025-07-24 23:00:00,2025-07-25 00:00:00,0
