placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-10-29 07:00:00,2025-10-29 07:05:00,1
fukui-station-east-entrance,Person,2025-10-29 07:05:00,2025-10-29 07:10:00,8
fukui-station-east-entrance,Person,2025-10-29 07:10:00,2025-10-29 07:15:00,15
fukui-station-east-entrance,Person,2025-10-29 07:15:00,2025-10-29 07:20:00,25
fukui-station-east-entrance,Person,2025-10-29 07:20:00,2025-10-29 07:25:00,26
fukui-station-east-entrance,Person,2025-10-29 07:25:00,2025-10-29 07:30:00,38
fukui-station-east-entrance,Person,2025-10-29 07:30:00,2025-10-29 07:35:00,46
fukui-station-east-entrance,Person,2025-10-29 07:35:00,2025-10-29 07:40:00,43
fukui-station-east-entrance,Person,2025-10-29 07:40:00,2025-10-29 07:45:00,88
fukui-station-east-entrance,Person,2025-10-29 07:45:00,2025-10-29 07:50:00,76
fukui-station-east-entrance,Person,2025-10-29 07:50:00,2025-10-29 07:55:00,36
fukui-station-east-entrance,Person,2025-10-29 07:55:00,2025-10-29 08:00:00,22
