placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-06-24 19:00:00,2025-06-24 19:05:00,23
fukui-station-east-entrance,Person,2025-06-24 19:05:00,2025-06-24 19:10:00,31
fukui-station-east-entrance,Person,2025-06-24 19:10:00,2025-06-24 19:15:00,20
fukui-station-east-entrance,Person,2025-06-24 19:15:00,2025-06-24 19:20:00,21
fukui-station-east-entrance,Person,2025-06-24 19:20:00,2025-06-24 19:25:00,22
fukui-station-east-entrance,Person,2025-06-24 19:25:00,2025-06-24 19:30:00,10
fukui-station-east-entrance,Person,2025-06-24 19:30:00,2025-06-24 19:35:00,30
fukui-station-east-entrance,Person,2025-06-24 19:35:00,2025-06-24 19:40:00,7
fukui-station-east-entrance,Person,2025-06-24 19:40:00,2025-06-24 19:45:00,19
fukui-station-east-entrance,Person,2025-06-24 19:45:00,2025-06-24 19:50:00,6
fukui-station-east-entrance,Person,2025-06-24 19:50:00,2025-06-24 19:55:00,2
fukui-station-east-entrance,Person,2025-06-24 19:55:00,2025-06-24 20:00:00,11
