placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-03-26 18:00:00,2025-03-26 18:05:00,72
fukui-station-east-entrance,Person,2025-03-26 18:05:00,2025-03-26 18:10:00,73
fukui-station-east-entrance,Person,2025-03-26 18:10:00,2025-03-26 18:15:00,37
fukui-station-east-entrance,Person,2025-03-26 18:15:00,2025-03-26 18:20:00,42
fukui-station-east-entrance,Person,2025-03-26 18:20:00,2025-03-26 18:25:00,74
fukui-station-east-entrance,Person,2025-03-26 18:25:00,2025-03-26 18:30:00,12
fukui-station-east-entrance,Person,2025-03-26 18:30:00,2025-03-26 18:35:00,30
fukui-station-east-entrance,Person,2025-03-26 18:35:00,2025-03-26 18:40:00,59
fukui-station-east-entrance,Person,2025-03-26 18:40:00,2025-03-26 18:45:00,53
fukui-station-east-entrance,Person,2025-03-26 18:45:00,2025-03-26 18:50:00,27
fukui-station-east-entrance,Person,2025-03-26 18:50:00,2025-03-26 18:55:00,24
fukui-station-east-entrance,Person,2025-03-26 18:55:00,2025-03-26 19:00:00,20
