placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-01-13 11:00:00,2025-01-13 11:05:00,45
fukui-station-east-entrance,Person,2025-01-13 11:05:00,2025-01-13 11:10:00,55
fukui-station-east-entrance,Person,2025-01-13 11:10:00,2025-01-13 11:15:00,57
fukui-station-east-entrance,Person,2025-01-13 11:15:00,2025-01-13 11:20:00,43
fukui-station-east-entrance,Person,2025-01-13 11:20:00,2025-01-13 11:25:00,28
fukui-station-east-entrance,Person,2025-01-13 11:25:00,2025-01-13 11:30:00,47
fukui-station-east-entrance,Person,2025-01-13 11:30:00,2025-01-13 11:35:00,23
fukui-station-east-entrance,Person,2025-01-13 11:35:00,2025-01-13 11:40:00,52
fukui-station-east-entrance,Person,2025-01-13 11:40:00,2025-01-13 11:45:00,31
fukui-station-east-entrance,Person,2025-01-13 11:45:00,2025-01-13 11:50:00,37
fukui-station-east-entrance,Person,2025-01-13 11:50:00,2025-01-13 11:55:00,53
fukui-station-east-entrance,Person,2025-01-13 11:55:00,2025-01-13 12:00:00,48
