placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-05-02 21:00:00,2025-05-02 21:05:00,29
fukui-station-east-entrance,Person,2025-05-02 21:05:00,2025-05-02 21:10:00,28
fukui-station-east-entrance,Person,2025-05-02 21:10:00,2025-05-02 21:15:00,14
fukui-station-east-entrance,Person,2025-05-02 21:15:00,2025-05-02 21:20:00,17
fukui-station-east-entrance,Person,2025-05-02 21:20:00,2025-05-02 21:25:00,22
fukui-station-east-entrance,Person,2025-05-02 21:25:00,2025-05-02 21:30:00,26
fukui-station-east-entrance,Person,2025-05-02 21:30:00,2025-05-02 21:35:00,6
fukui-station-east-entrance,Person,2025-05-02 21:35:00,2025-05-02 21:40:00,23
fukui-station-east-entrance,Person,2025-05-02 21:40:00,2025-05-02 21:45:00,18
fukui-station-east-entrance,Person,2025-05-02 21:45:00,2025-05-02 21:50:00,7
fukui-station-east-entrance,Person,2025-05-02 21:50:00,2025-05-02 21:55:00,9
fukui-station-east-entrance,Person,2025-05-02 21:55:00,2025-05-02 22:00:00,10
