placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-03-25 08:00:00,2026-03-25 08:05:00,5
tojinbo-shotaro,Person,2026-03-25 08:05:00,2026-03-25 08:10:00,8
tojinbo-shotaro,Person,2026-03-25 08:10:00,2026-03-25 08:15:00,23
tojinbo-shotaro,Person,2026-03-25 08:15:00,2026-03-25 08:20:00,20
tojinbo-shotaro,Person,2026-03-25 08:20:00,2026-03-25 08:25:00,28
tojinbo-shotaro,Person,2026-03-25 08:25:00,2026-03-25 08:30:00,44
tojinbo-shotaro,Person,2026-03-25 08:30:00,2026-03-25 08:35:00,47
tojinbo-shotaro,Person,2026-03-25 08:35:00,2026-03-25 08:40:00,21
tojinbo-shotaro,Person,2026-03-25 08:40:00,2026-03-25 08:45:00,20
tojinbo-shotaro,Person,2026-03-25 08:45:00,2026-03-25 08:50:00,7
tojinbo-shotaro,Person,2026-03-25 08:50:00,2026-03-25 08:55:00,29
tojinbo-shotaro,Person,2026-03-25 08:55:00,2026-03-25 09:00:00,6
