placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-02-23 23:00:00,2025-02-23 23:05:00,15
fukui-station-east-entrance,Person,2025-02-23 23:05:00,2025-02-23 23:10:00,10
fukui-station-east-entrance,Person,2025-02-23 23:10:00,2025-02-23 23:15:00,4
fukui-station-east-entrance,Person,2025-02-23 23:15:00,2025-02-23 23:20:00,0
fukui-station-east-entrance,Person,2025-02-23 23:20:00,2025-02-23 23:25:00,0
fukui-station-east-entrance,Person,2025-02-23 23:25:00,2025-02-23 23:30:00,0
fukui-station-east-entrance,Person,2025-02-23 23:30:00,2025-02-23 23:35:00,0
fukui-station-east-entrance,Person,2025-02-23 23:35:00,2025-02-23 23:40:00,0
fukui-station-east-entrance,Person,2025-02-23 23:40:00,2025-02-23 23:45:00,0
fukui-station-east-entrance,Person,2025-02-23 23:45:00,2025-02-23 23:50:00,0
fukui-station-east-entrance,Person,2025-02-23 23:50:00,2025-02-23 23:55:00,0
fukui-station-east-entrance,Person,2025-02-23 23:55:00,2025-02-24 00:00:00,0
