placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-02-04 14:00:00,2026-02-04 14:05:00,42
tojinbo-shotaro,Person,2026-02-04 14:05:00,2026-02-04 14:10:00,34
tojinbo-shotaro,Person,2026-02-04 14:10:00,2026-02-04 14:15:00,60
tojinbo-shotaro,Person,2026-02-04 14:15:00,2026-02-04 14:20:00,42
tojinbo-shotaro,Person,2026-02-04 14:20:00,2026-02-04 14:25:00,71
tojinbo-shotaro,Person,2026-02-04 14:25:00,2026-02-04 14:30:00,65
tojinbo-shotaro,Person,2026-02-04 14:30:00,2026-02-04 14:35:00,31
tojinbo-shotaro,Person,2026-02-04 14:35:00,2026-02-04 14:40:00,15
tojinbo-shotaro,Person,2026-02-04 14:40:00,2026-02-04 14:45:00,42
tojinbo-shotaro,Person,2026-02-04 14:45:00,2026-02-04 14:50:00,71
tojinbo-shotaro,Person,2026-02-04 14:50:00,2026-02-04 14:55:00,63
tojinbo-shotaro,Person,2026-02-04 14:55:00,2026-02-04 15:00:00,16
