placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-02-08 16:00:00,2026-02-08 16:05:00,59
tojinbo-shotaro,Person,2026-02-08 16:05:00,2026-02-08 16:10:00,42
tojinbo-shotaro,Person,2026-02-08 16:10:00,2026-02-08 16:15:00,66
tojinbo-shotaro,Person,2026-02-08 16:15:00,2026-02-08 16:20:00,27
tojinbo-shotaro,Person,2026-02-08 16:20:00,2026-02-08 16:25:00,10
tojinbo-shotaro,Person,2026-02-08 16:25:00,2026-02-08 16:30:00,11
tojinbo-shotaro,Person,2026-02-08 16:30:00,2026-02-08 16:35:00,5
tojinbo-shotaro,Person,2026-02-08 16:35:00,2026-02-08 16:40:00,10
tojinbo-shotaro,Person,2026-02-08 16:40:00,2026-02-08 16:45:00,1
tojinbo-shotaro,Person,2026-02-08 16:45:00,2026-02-08 16:50:00,6
tojinbo-shotaro,Person,2026-02-08 16:50:00,2026-02-08 16:55:00,0
tojinbo-shotaro,Person,2026-02-08 16:55:00,2026-02-08 17:00:00,5
