placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
fukui-station-east-entrance,Face,2025-08-01 00:00:00,2025-08-02 00:00:00,457,5,167,34,24,51,24,19,17,6,0,36,21,16,13,9,8,2,3,0,0,2,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-02 00:00:00,2025-08-03 00:00:00,561,4,188,39,24,49,32,29,16,9,0,40,23,24,35,20,19,5,3,0,2,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-03 00:00:00,2025-08-04 00:00:00,579,3,221,41,48,35,37,30,13,8,0,36,22,8,27,23,15,5,3,0,2,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-08-04 00:00:00,2025-08-05 00:00:00,421,7,158,23,22,32,19,16,14,8,1,34,16,11,21,16,8,4,8,0,1,0,0,1,1,0,0,0
fukui-station-east-entrance,Face,2025-08-05 00:00:00,2025-08-06 00:00:00,517,1,171,34,37,50,31,20,19,8,0,40,22,20,28,15,7,7,4,0,1,1,0,1,0,0,0,0
fukui-station-east-entrance,Face,2025-08-06 00:00:00,2025-08-07 00:00:00,424,3,156,35,26,38,28,13,8,5,0,35,15,12,23,12,5,8,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-07 00:00:00,2025-08-08 00:00:00,418,5,146,39,30,38,33,13,7,4,0,30,24,17,12,9,5,2,2,0,1,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-08 00:00:00,2025-08-09 00:00:00,416,4,159,24,32,40,16,17,10,8,0,33,16,16,15,7,9,6,3,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-09 00:00:00,2025-08-10 00:00:00,633,5,235,45,50,45,38,26,25,4,0,50,16,23,34,17,12,3,3,0,0,0,0,1,0,0,0,1
fukui-station-east-entrance,Face,2025-08-10 00:00:00,2025-08-11 00:00:00,748,8,308,57,44,69,48,19,4,7,0,61,22,23,35,25,7,3,5,0,1,1,0,0,0,1,0,0
fukui-station-east-entrance,Face,2025-08-11 00:00:00,2025-08-12 00:00:00,682,11,252,57,48,75,40,22,9,7,0,47,16,24,30,20,9,8,4,0,1,0,0,1,1,0,0,0
fukui-station-east-entrance,Face,2025-08-12 00:00:00,2025-08-13 00:00:00,762,12,312,66,56,55,39,14,16,6,0,58,25,22,32,21,11,7,2,0,4,0,0,2,0,2,0,0
fukui-station-east-entrance,Face,2025-08-13 00:00:00,2025-08-14 00:00:00,691,9,247,53,49,71,37,36,22,6,2,50,23,24,25,13,10,3,5,0,4,0,0,1,1,0,0,0
fukui-station-east-entrance,Face,2025-08-14 00:00:00,2025-08-15 00:00:00,672,7,262,63,51,57,36,28,12,7,1,45,20,26,25,18,4,7,2,0,0,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-08-15 00:00:00,2025-08-16 00:00:00,678,6,244,50,43,58,26,29,23,14,1,46,23,25,30,29,11,8,8,0,0,0,0,2,0,1,1,0
fukui-station-east-entrance,Face,2025-08-16 00:00:00,2025-08-17 00:00:00,656,10,235,52,52,60,34,21,12,9,0,41,21,20,37,24,15,10,2,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-17 00:00:00,2025-08-18 00:00:00,748,12,250,45,43,59,56,16,26,11,1,58,29,26,42,30,22,17,2,0,2,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-08-18 00:00:00,2025-08-19 00:00:00,558,9,240,31,32,41,20,21,11,9,0,38,19,23,28,14,9,5,5,0,2,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-08-19 00:00:00,2025-08-20 00:00:00,378,2,119,30,24,36,30,16,14,8,0,24,17,9,15,17,11,3,2,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-20 00:00:00,2025-08-21 00:00:00,322,2,114,25,21,31,18,17,11,7,0,22,10,11,14,7,3,8,1,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-21 00:00:00,2025-08-22 00:00:00,370,3,128,29,23,37,17,17,14,3,1,25,18,7,18,18,4,1,5,0,2,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-22 00:00:00,2025-08-23 00:00:00,450,7,163,32,29,42,30,20,18,6,0,35,15,13,13,7,7,8,3,0,0,0,1,1,0,0,0,0
fukui-station-east-entrance,Face,2025-08-23 00:00:00,2025-08-24 00:00:00,537,3,208,37,32,57,31,14,12,5,0,41,21,13,27,16,10,5,3,0,1,1,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-24 00:00:00,2025-08-25 00:00:00,542,7,199,50,31,44,29,21,10,11,0,46,17,14,28,15,7,4,5,0,3,0,0,0,1,0,0,0
fukui-station-east-entrance,Face,2025-08-25 00:00:00,2025-08-26 00:00:00,433,5,141,34,29,39,22,16,14,6,0,36,12,16,23,24,8,4,1,0,1,0,1,0,0,0,0,1
fukui-station-east-entrance,Face,2025-08-26 00:00:00,2025-08-27 00:00:00,326,3,119,23,24,31,18,16,7,4,0,21,15,9,15,11,5,3,2,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-27 00:00:00,2025-08-28 00:00:00,298,3,120,22,10,29,21,14,11,2,0,28,8,9,5,4,5,2,2,0,0,1,0,0,2,0,0,0
fukui-station-east-entrance,Face,2025-08-28 00:00:00,2025-08-29 00:00:00,375,5,146,32,18,35,22,17,15,10,1,28,5,5,14,8,5,5,4,0,0,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-29 00:00:00,2025-08-30 00:00:00,330,2,113,23,25,39,17,9,5,6,0,23,17,13,11,14,6,3,2,0,1,0,0,0,0,0,1,0
fukui-station-east-entrance,Face,2025-08-30 00:00:00,2025-08-31 00:00:00,402,4,158,28,30,43,17,13,8,2,1,31,13,10,19,14,8,2,0,0,1,0,0,0,0,0,0,0
fukui-station-east-entrance,Face,2025-08-31 00:00:00,2025-09-01 00:00:00,469,3,175,36,34,36,27,18,5,7,1,37,26,19,14,19,5,2,3,0,0,0,1,0,0,0,0,1
