placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-08-28 18:00:00,2025-08-28 18:05:00,66
fukui-station-east-entrance,Person,2025-08-28 18:05:00,2025-08-28 18:10:00,61
fukui-station-east-entrance,Person,2025-08-28 18:10:00,2025-08-28 18:15:00,59
fukui-station-east-entrance,Person,2025-08-28 18:15:00,2025-08-28 18:20:00,58
fukui-station-east-entrance,Person,2025-08-28 18:20:00,2025-08-28 18:25:00,48
fukui-station-east-entrance,Person,2025-08-28 18:25:00,2025-08-28 18:30:00,41
fukui-station-east-entrance,Person,2025-08-28 18:30:00,2025-08-28 18:35:00,35
fukui-station-east-entrance,Person,2025-08-28 18:35:00,2025-08-28 18:40:00,34
fukui-station-east-entrance,Person,2025-08-28 18:40:00,2025-08-28 18:45:00,23
fukui-station-east-entrance,Person,2025-08-28 18:45:00,2025-08-28 18:50:00,30
fukui-station-east-entrance,Person,2025-08-28 18:50:00,2025-08-28 18:55:00,20
fukui-station-east-entrance,Person,2025-08-28 18:55:00,2025-08-28 19:00:00,25
