placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-12-09 19:00:00,2025-12-09 19:05:00,20
fukui-station-east-entrance,Person,2025-12-09 19:05:00,2025-12-09 19:10:00,23
fukui-station-east-entrance,Person,2025-12-09 19:10:00,2025-12-09 19:15:00,12
fukui-station-east-entrance,Person,2025-12-09 19:15:00,2025-12-09 19:20:00,13
fukui-station-east-entrance,Person,2025-12-09 19:20:00,2025-12-09 19:25:00,32
fukui-station-east-entrance,Person,2025-12-09 19:25:00,2025-12-09 19:30:00,18
fukui-station-east-entrance,Person,2025-12-09 19:30:00,2025-12-09 19:35:00,12
fukui-station-east-entrance,Person,2025-12-09 19:35:00,2025-12-09 19:40:00,8
fukui-station-east-entrance,Person,2025-12-09 19:40:00,2025-12-09 19:45:00,6
fukui-station-east-entrance,Person,2025-12-09 19:45:00,2025-12-09 19:50:00,15
fukui-station-east-entrance,Person,2025-12-09 19:50:00,2025-12-09 19:55:00,24
fukui-station-east-entrance,Person,2025-12-09 19:55:00,2025-12-09 20:00:00,12
