placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-11-20 10:00:00,2025-11-20 10:05:00,73
tojinbo-shotaro,Person,2025-11-20 10:05:00,2025-11-20 10:10:00,75
tojinbo-shotaro,Person,2025-11-20 10:10:00,2025-11-20 10:15:00,112
tojinbo-shotaro,Person,2025-11-20 10:15:00,2025-11-20 10:20:00,80
tojinbo-shotaro,Person,2025-11-20 10:20:00,2025-11-20 10:25:00,89
tojinbo-shotaro,Person,2025-11-20 10:25:00,2025-11-20 10:30:00,109
tojinbo-shotaro,Person,2025-11-20 10:30:00,2025-11-20 10:35:00,138
tojinbo-shotaro,Person,2025-11-20 10:35:00,2025-11-20 10:40:00,113
tojinbo-shotaro,Person,2025-11-20 10:40:00,2025-11-20 10:45:00,87
tojinbo-shotaro,Person,2025-11-20 10:45:00,2025-11-20 10:50:00,90
tojinbo-shotaro,Person,2025-11-20 10:50:00,2025-11-20 10:55:00,75
tojinbo-shotaro,Person,2025-11-20 10:55:00,2025-11-20 11:00:00,97
