placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-02-27 16:00:00,2026-02-27 16:05:00,69
tojinbo-shotaro,Person,2026-02-27 16:05:00,2026-02-27 16:10:00,72
tojinbo-shotaro,Person,2026-02-27 16:10:00,2026-02-27 16:15:00,64
tojinbo-shotaro,Person,2026-02-27 16:15:00,2026-02-27 16:20:00,31
tojinbo-shotaro,Person,2026-02-27 16:20:00,2026-02-27 16:25:00,29
tojinbo-shotaro,Person,2026-02-27 16:25:00,2026-02-27 16:30:00,25
tojinbo-shotaro,Person,2026-02-27 16:30:00,2026-02-27 16:35:00,20
tojinbo-shotaro,Person,2026-02-27 16:35:00,2026-02-27 16:40:00,34
tojinbo-shotaro,Person,2026-02-27 16:40:00,2026-02-27 16:45:00,40
tojinbo-shotaro,Person,2026-02-27 16:45:00,2026-02-27 16:50:00,34
tojinbo-shotaro,Person,2026-02-27 16:50:00,2026-02-27 16:55:00,95
tojinbo-shotaro,Person,2026-02-27 16:55:00,2026-02-27 17:00:00,51
