placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2026-02-25 00:00:00,2026-02-25 01:00:00,0
tojinbo-shotaro,Person,2026-02-25 01:00:00,2026-02-25 02:00:00,0
tojinbo-shotaro,Person,2026-02-25 02:00:00,2026-02-25 03:00:00,0
tojinbo-shotaro,Person,2026-02-25 03:00:00,2026-02-25 04:00:00,0
tojinbo-shotaro,Person,2026-02-25 04:00:00,2026-02-25 05:00:00,6
tojinbo-shotaro,Person,2026-02-25 05:00:00,2026-02-25 06:00:00,0
tojinbo-shotaro,Person,2026-02-25 06:00:00,2026-02-25 07:00:00,37
tojinbo-shotaro,Person,2026-02-25 07:00:00,2026-02-25 08:00:00,10
tojinbo-shotaro,Person,2026-02-25 08:00:00,2026-02-25 09:00:00,152
tojinbo-shotaro,Person,2026-02-25 09:00:00,2026-02-25 10:00:00,382
tojinbo-shotaro,Person,2026-02-25 10:00:00,2026-02-25 11:00:00,565
tojinbo-shotaro,Person,2026-02-25 11:00:00,2026-02-25 12:00:00,599
tojinbo-shotaro,Person,2026-02-25 12:00:00,2026-02-25 13:00:00,823
tojinbo-shotaro,Person,2026-02-25 13:00:00,2026-02-25 14:00:00,1056
tojinbo-shotaro,Person,2026-02-25 14:00:00,2026-02-25 15:00:00,966
tojinbo-shotaro,Person,2026-02-25 15:00:00,2026-02-25 16:00:00,1266
tojinbo-shotaro,Person,2026-02-25 16:00:00,2026-02-25 17:00:00,652
tojinbo-shotaro,Person,2026-02-25 17:00:00,2026-02-25 18:00:00,83
tojinbo-shotaro,Person,2026-02-25 18:00:00,2026-02-25 19:00:00,12
tojinbo-shotaro,Person,2026-02-25 19:00:00,2026-02-25 20:00:00,0
tojinbo-shotaro,Person,2026-02-25 20:00:00,2026-02-25 21:00:00,0
tojinbo-shotaro,Person,2026-02-25 21:00:00,2026-02-25 22:00:00,2
tojinbo-shotaro,Person,2026-02-25 22:00:00,2026-02-25 23:00:00,0
tojinbo-shotaro,Person,2026-02-25 23:00:00,2026-02-26 00:00:00,3
