placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-06-20 15:00:00,2025-06-20 15:05:00,53
tojinbo-shotaro,Person,2025-06-20 15:05:00,2025-06-20 15:10:00,60
tojinbo-shotaro,Person,2025-06-20 15:10:00,2025-06-20 15:15:00,62
tojinbo-shotaro,Person,2025-06-20 15:15:00,2025-06-20 15:20:00,64
tojinbo-shotaro,Person,2025-06-20 15:20:00,2025-06-20 15:25:00,29
tojinbo-shotaro,Person,2025-06-20 15:25:00,2025-06-20 15:30:00,47
tojinbo-shotaro,Person,2025-06-20 15:30:00,2025-06-20 15:35:00,55
tojinbo-shotaro,Person,2025-06-20 15:35:00,2025-06-20 15:40:00,60
tojinbo-shotaro,Person,2025-06-20 15:40:00,2025-06-20 15:45:00,50
tojinbo-shotaro,Person,2025-06-20 15:45:00,2025-06-20 15:50:00,30
tojinbo-shotaro,Person,2025-06-20 15:50:00,2025-06-20 15:55:00,71
tojinbo-shotaro,Person,2025-06-20 15:55:00,2025-06-20 16:00:00,66
