placement,object class,aggregate from,aggregate to,total count
tojinbo-shotaro,Person,2025-11-26 11:00:00,2025-11-26 11:05:00,108
tojinbo-shotaro,Person,2025-11-26 11:05:00,2025-11-26 11:10:00,110
tojinbo-shotaro,Person,2025-11-26 11:10:00,2025-11-26 11:15:00,76
tojinbo-shotaro,Person,2025-11-26 11:15:00,2025-11-26 11:20:00,70
tojinbo-shotaro,Person,2025-11-26 11:20:00,2025-11-26 11:25:00,112
tojinbo-shotaro,Person,2025-11-26 11:25:00,2025-11-26 11:30:00,105
tojinbo-shotaro,Person,2025-11-26 11:30:00,2025-11-26 11:35:00,45
tojinbo-shotaro,Person,2025-11-26 11:35:00,2025-11-26 11:40:00,36
tojinbo-shotaro,Person,2025-11-26 11:40:00,2025-11-26 11:45:00,59
tojinbo-shotaro,Person,2025-11-26 11:45:00,2025-11-26 11:50:00,98
tojinbo-shotaro,Person,2025-11-26 11:50:00,2025-11-26 11:55:00,92
tojinbo-shotaro,Person,2025-11-26 11:55:00,2025-11-26 12:00:00,54
