placement,object class,aggregate from,aggregate to,total count
fukui-station-east-entrance,Person,2025-06-19 17:00:00,2025-06-19 17:05:00,53
fukui-station-east-entrance,Person,2025-06-19 17:05:00,2025-06-19 17:10:00,48
fukui-station-east-entrance,Person,2025-06-19 17:10:00,2025-06-19 17:15:00,65
fukui-station-east-entrance,Person,2025-06-19 17:15:00,2025-06-19 17:20:00,69
fukui-station-east-entrance,Person,2025-06-19 17:20:00,2025-06-19 17:25:00,77
fukui-station-east-entrance,Person,2025-06-19 17:25:00,2025-06-19 17:30:00,89
fukui-station-east-entrance,Person,2025-06-19 17:30:00,2025-06-19 17:35:00,81
fukui-station-east-entrance,Person,2025-06-19 17:35:00,2025-06-19 17:40:00,61
fukui-station-east-entrance,Person,2025-06-19 17:40:00,2025-06-19 17:45:00,101
fukui-station-east-entrance,Person,2025-06-19 17:45:00,2025-06-19 17:50:00,70
fukui-station-east-entrance,Person,2025-06-19 17:50:00,2025-06-19 17:55:00,61
fukui-station-east-entrance,Person,2025-06-19 17:55:00,2025-06-19 18:00:00,72
